Champion,Name,Erscheinungsdatum
Maokai,Festive,14-Dec-2011
Maokai,Haunted,26-Oct-2012
Maokai,Goalkeeper,18-Jun-2014
Maokai,Victorious,08-Nov-2016
Maokai,Worldbreaker,09-Apr-2020
MasterYi,Original,21-Feb-2009
MasterYi,Assassin,17-Dec-2009
MasterYi,Chosen,03-Jun-2010
MasterYi,Ionia,12-Sep-2010
MasterYi,Samurai Yi,07-Mar-2011
MasterYi,Headhunter,08-Feb-2012
MasterYi,PROJECT Yi,07-Sep-2015
MasterYi,Cosmic Blade,26-Apr-2017
MasterYi,Eternal Sword Yi,27-Sep-2017
MasterYi,Blood Moon,20-Feb-2020
MasterYi,Snow Man Yi,06-Dec-2018
MissFortune,Original,08-Sep-2010
MissFortune,Cowgirl,08-Sep-2010
MissFortune,Waterloo,08-Sep-2010
MissFortune,Mafia,01-Nov-2011
MissFortune,Arcade,12-Aug-2014
MissFortune,Captain Fortune,30-Jul-2015
MissFortune,Pool Party,13-Jul-2016
MissFortune,Star Guardian,06-Sep-2017
MissFortune,Gun Goddess,22-Mar-2018
MissFortune,Pajama Guardian,21-Nov-2018
MissFortune,Secret Agent,16-Nov-2010
MissFortune,Candy Cane,14-Dec-2010
MissFortune,Road Warrior,24-May-2011
MissFortune,Bewitching,24-Oct-2019
MissFortune,Prestige Bewitching,24-Oct-2019
MonkeyKing,Original,26-Jul-2011
MonkeyKing,Volcanic,26-Jul-2011
MonkeyKing,General,26-Jul-2011
MonkeyKing,Jade Dragon,10-Jan-2012
MonkeyKing,Radiant,27-Jan-2016
MonkeyKing,Lancer Stratus,04-Apr-2018
MonkeyKing,Underworld,28-Oct-2014
Mordekaiser,Original,24-Feb-2010
Mordekaiser,Infernal,24-Feb-2010
Mordekaiser,Pentakill,21-Sep-2010
Mordekaiser,Lord,10-May-2011
Mordekaiser,King of Clubs,20-May-2015
Mordekaiser,Dark Star,26-Mar-2020
Mordekaiser,Dragon Knight,24-Feb-2010
Morgana,Original,21-Feb-2009
Morgana,Blade Mistress,01-Dec-2010
Morgana,Blackthorn,23-May-2012
Morgana,Ghost Bride,13-Jun-2013
Morgana,Majestic Empress,26-Sep-2019
Morgana,Exiled,01-Jun-2010
Morgana,Sinful Succulence,02-Sep-2010
Morgana,Lunar Wraith,27-Jan-2016
Morgana,Bewitching,19-Oct-2016
Morgana,Victorious,11-Nov-2014
Morgana,Coven,???
Nami,Original,07-Dec-2012
Nami,Koi,07-Dec-2012
Nami,River Spirit,01-Jun-2014
Nami,Urf the Nami-tee,31-Mar-2015
Nami,Deep Sea,29-Jun-2016
Nami,Program,15-Nov-2018
Nami,Splendid Staff,26-Sep-2019
Nami,SKT T1,27-Jun-2017
Nasus,Original,30-Sep-2009
Nasus,Galactic,13-Jul-2010
Nasus,Pharaoh,02-Nov-2010
Nasus,Dreadknight,26-Apr-2011
Nasus,Infernal,20-Nov-2013
Nasus,Archduke,31-Mar-2015
Nasus,Worldbreaker,10-Nov-2016
Nasus,Riot K-9,16-Aug-2011
Nasus,Lunar Guardian,08-Feb-2018
Nautilus,Original,14-Feb-2012
Nautilus,Abyssal,14-Feb-2012
Nautilus,Subterranean,14-Feb-2012
Nautilus,AstroNautilus,04-Sep-2012
Nautilus,Warden,17-Feb-2015
Nautilus,Worldbreaker,10-Nov-2016
Neeko,Original,05-Dec-2018
Neeko,Winter Wonder,05-Dec-2018
Neeko,Star Guardian,12-Sep-2019
Neeko,Prestige Star Guardian,12-Sep-2019
